CODIGO DE BARRAS,CODIGO INT,DESCRIPCION,Proveedor,CANTIDADES,stock al cargar,Entrada,Salida,Macros,Macros,Stock
6.9268E+12,NEX0195,PELOPINCHO ,JILONG,2,2,0,0,0,0,
6.92039E+12,NEX7423,PILETA INFLABLE CHUPETIN,JILONG,1,1,0,0,0,0,
6.92039E+12,NEX7351,PILETA FORMA DE HELADO,JILONG,3,3,0,0,0,0,
6.97485E+12,HPI5522,METRALLADORA MEDIANA,RONSON,239,118,0,0,0,121,
7.79814E+12,FPR1487,FIGURAS MAGICAS PRINCESAS,DITOYS,36,12,0,0,0,24,
7.79814E+12,NJU1530,MINNIE CON LUZ,DITOYS,192,184,0,0,0,8,
7.79814E+12,HFU1892,FUTBOL BURBUJA MAGICA,DITOYS,18,12,0,0,0,6,
6.9268E+12,NEX0086,PELOPINCHO PILETA,JILONG,57,20,0,0,0,37,
7.79814E+12,NDE6050,SOGAS PARA SALTAR,-,24,24,0,0,0,0,
7.79814E+12,FCA6902,CAJA REGISTRADORA SOY LUNA,SOY LUNA,8,8,0,0,0,0,
7.79801E+12,NME0355,CAEN ABEJAS BALANCIN,DITOYS,112,112,0,0,0,0,
7.79536E+12,RPT2175,CUATRI PATA PATA ATV,KUMA,24,20,0,0,0,4,
7.79814E+12,NPE1529,MICKEY CON LUZ,DITOYS,100,100,0,0,0,0,
MP 215,RMON0215,MONOPATIN LIGA DE LA JUSTICIA,BIPO,12,12,0,0,0,0,
MNC 04 H,FCO0004,COCHE PEPA PIG MUÑECA MELLIZOS,BIPO,28,28,0,0,0,0,
MNC 02 J,FCO0002,COCHE PEPA MUÑECA 3RUEDAS,BIPO,28,28,0,0,0,0,
7.48324E+11,NMN5909,MONOPATIN CON RUEDAS TRANSPARENTE,AMCOR,24,24,0,0,0,0,
7.48324E+11,RMN7351,MONOPATIN ,CITEC,198,198,0,0,0,0,
9.65014E+12,NMP0028,MONOPATIN LUCES LED,CITEC,162,168,0,6,-6,-6,
9.65014E+12,NMN0292,MONOPATIN CON ASIENTO,CITEC,66,66,0,0,0,0,
5.0124E+12,NMN,MONOPATIN PLASTICO,SAN REMO,48,48,0,0,0,0,
7.7981E+12,FEX0171,SET DE PICKNICK,MINI PLAY,4,4,0,0,0,0,
7.79818E+12,FBA0166,COCINA BARBIE,MINI PLAYS,40,40,0,0,0,0,
7.79803E+12,FCA0848,CARRITO MUÑECA CON CAPOTA,FIORELLA,144,48,0,0,0,96,
5.01368E+12,HAU6800,RETRO ESCABADORA,SAN REMO,8,8,0,0,0,0,
2.01809E+12,NPI5588,PISTOLA DE AGUA,RONSON,24,24,0,0,0,0,
7.54151E+12,NPI0826,PISTOLA DE AGUA VARIOS BOCAS,RONSON,1,1,0,0,0,0,
2.01809E+12,NPI0156,PISTOLA DE AGUA,RONSON,2,2,0,0,0,0,
2.01809E+12,NPI0428,PISTOLA DE AGUA,RONSON,15,3,0,0,0,12,
6.99126E+12,NPI5999,PISTOLA DE ,-,24,24,0,0,0,0,
6.92012E+12,NPI0555,PISTOLA DE AGUA MEDIANA,RONSON,16,19,0,0,0,0,
6.94012E+12,NPI0816,PISTOLA DE AGUA GRANDE,RONSON,10,10,0,0,0,0,
7.54101E+12,HPI0003,PISTOLA DE AGUA MEDIANA,RONSON,23,23,0,0,0,0,
